feature,score,rank
predictor,209.96294888183144,1
predict,97.13622589576214,2
metric,79.85844421727833,3
chidamb,74.28194254091247,4
kemer,70.88687677636729,5
prone,69.26366115777927,6
nasa,65.08357995615579,7
churn,60.40781645375709,8
dataset,60.097345677124096,9
defect,53.67638542394084,10
modul,52.11878347731548,11
naiv,42.12409499874972,12
empir,41.91350334535531,13
regress,41.5028732768913,14
ssm,37.5282662261162,15
bay,33.52901309262413,16
logist,32.833614874710904,17
cgbr,32.53438936719554,18
releas,32.52076512627709,19
pessim,32.10709804767858,20
fenton,31.695174536025817,21
ohlsson,31.695174536025817,22
chum,31.31054976715448,23
ranker,31.205140887551895,24
class,31.190059485516272,25
postreleas,29.477057848471556,26
c3,29.194274734408246,27
kc1,27.166176507135162,28
imbalanc,27.102481845699,29
journal,27.056623771514943,30
oo,26.39171043706385,31
cart,26.353432744027458,32
auc,25.296924189123363,33
ck,23.95543378556738,34
bn,23.048241890980787,35
pc1,23.03241150376459,36
grail,22.301052098849123,37
holi,22.301052098849123,38
repositori,22.032628529425445,39
undisput,21.826430397017667,40
rup,21.76624461499946,41
71,21.163584082143593,42
debat,20.410563462973588,43
binomi,20.300083560652638,44
project,19.610345788769948,45
public,19.567762160976404,46
stratif,19.4784342363349,47
misclassif,19.457849688413663,48
qmood,19.38561253722087,49
learn,19.17042848446555,50
bag,18.961827041701397,51
cohes,18.738704239335178,52
103,18.68578339268446,53
telepres,18.622263632625035,54
prereleas,18.331733993344287,55
softwar,18.28726360634916,56
ics,18.226661767253496,57
grnn,18.226335569164977,58
mood,18.02283126469486,59
mvgnb,17.53203015943884,60
aic,16.848562977258705,61
ccbo,16.431788541759218,62
msr,16.27243056288406,63
rvc,16.172586537328232,64
c4,16.082471861793135,65
inherit,15.90019225646152,66
rhino,15.75601389074697,67
roughli,15.590303138248217,68
studi,15.260732933893642,69
mdp,15.175043526798673,70
rank,15.139019807862555,71
wc,14.999113417965022,72
publicli,14.600362886850357,73
cm1,14.464779418903946,74
jm1,14.439858135411987,75
lad,14.383911193735807,76
classifi,13.679301134023174,77
forest,13.34012519717851,78
2003,13.244817867067031,79
classif,13.157428243726875,80
unnecessarili,13.142133671556534,81
plethora,13.114462429431105,82
1993,13.064646319651896,83
multivari,13.020903630987815,84
fnr,12.919980683586072,85
eclips,12.843449264897254,86
telecontrol,12.765265857839848,87
quarterli,12.75098625317726,88
histori,12.48756745477454,89
23,12.262078250769777,90
123,12.13661608833742,91
unlabel,12.11813014240026,92
rbbag,12.071118375878017,93
j48,11.988773921874781,94
admpso,11.974500182045858,95
openbsd,11.723500416185555,96
code,11.646807722545821,97
mccabe,11.631354561237684,98
morph,11.511963782731648,99
file,11.481536629800312,100
